Date,Salesperson,Customer Name,C    ar Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
8/1/2022,Monica Moore MD,Mary Butler,Nissan,Altima,2018,15983,0.07049522770435404,1126.73
3/15/2023,Roberto Rose,Richard Pierce,Nissan,F-150,2016,38474,0.13443883688865882,5172.4
4/29/2023,Ashley Ramos,Sandra Moore,Ford,Civic,2016,33340,0.11453592158660743,3818.63
9/4/2022,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.09219072181202051,3866.2
6/16/2022,Eric Lopez,Vanessa Jones,Honda,Silverado,2022,20256,0.11348979252839732,2298.85
12/18/2022,Terry Perkins MD,John Olsen,Ford,Altima,2015,14769,0.0772469351075994,1140.86
6/12/2022,Ashley Brown,Tyler Lawson,Honda,F-150,2013,41397,0.14278012046202349,5910.67
6/20/2022,Norma Watkins,Michael Bond,Ford,Altima,2015,46233,0.07162375791822201,3311.38
9/2/2022,Scott Parker,Stephanie Smith,Ford,Corolla,2021,27337,0.09950365066681469,2720.13
4/6/2023,Andrew Smith,Ashley Moreno DDS,Ford,Civic,2018,16309,0.14992578196198048,2445.14
3/12/2023,Harold Nelson,Isaac Patton,Honda,Silverado,2021,41259,0.09254115962373276,3818.16
1/29/2023,Richard Richardson,Justin Gray,Toyota,Silverado,2022,48224,0.09059214611261575,4368.72
5/29/2022,Mia Acosta,Rebecca Best,Ford,Altima,2017,36409,0.12234885229472708,4454.6
8/12/2022,Lisa Campbell,Lisa Anderson,Toyota,F-150,2011,29628,0.11232629380252482,3328
4/6/2023,Carrie Howard,Rodney Black,Chevrolet,Altima,2021,10313,0.10387489462717983,1071.26
12/21/2022,James Velasquez,Natalie Thompson,Honda,Corolla,2016,36607,0.05525097833560843,2022.57
8/12/2022,Kristin Holmes,Michael Hill,Nissan,Altima,2010,39916,0.052007774519202736,2075.94
8/23/2022,Amy Solomon,Taylor Moore,Nissan,Silverado,2018,18482,0.08618532374694807,1592.88
10/18/2022,William Williams,Jordan Taylor,Toyota,Civic,2013,17158,0.12722779579444637,2182.97
3/9/2023,Patricia Reynolds,Alison Walker,Ford,Altima,2014,28796,0.09345120934038341,2691.02
9/28/2022,Michelle Gonzalez,Juan Davies,Ford,Corolla,2014,24128,0.08478088211948107,2045.59
12/20/2022,Jennifer Morris,Kristin Robinson,Toyota,Civic,2011,36895,0.12828810888621467,4733.19
7/26/2022,Jeremiah Thompson,Clifford Evans,Nissan,Altima,2013,16797,0.14423733102284325,2422.75
7/18/2022,Matthew White,Nancy Martinez,Chevrolet,Altima,2020,30184,0.13699119341719007,4134.94
12/19/2022,Jason Riley,Ruben Gomez,Nissan,Civic,2010,41587,0.0844044075014132,3510.13
2/15/2023,Faith Pierce,Jimmy Dunn,Honda,Silverado,2016,35279,0.06339966432970515,2236.68
6/23/2022,Samuel Brown,David Wagner,Chevrolet,F-150,2016,33502,0.1229233255755757,4118.18
7/14/2022,Amber Cooper,Claire Day,Nissan,F-150,2018,30296,0.10017036341635777,3034.76
7/17/2022,Paul Potter,Corey West,Honda,Corolla,2018,28406,0.08524663827180276,2421.52
12/11/2022,Jason Cabrera,Rebecca Hansen,Chevrolet,F-150,2012,20725,0.14507344059455757,3006.65
7/18/2022,Brenda Morales,Jason Hahn,Ford,Altima,2011,23330,0.06898075553251723,1609.32
5/13/2022,Christian Williams,Jerry Baker,Chevrolet,Silverado,2019,41216,0.1286909795352531,5304.13
9/5/2022,Stephanie Trujillo,April Morales,Ford,Silverado,2022,43188,0.09922014064762105,4285.12
12/30/2022,Shawn Cummings,Kelly Beasley,Chevrolet,Altima,2013,15064,0.053381650735357215,804.14
7/2/2022,Lacey Cooper,Jennifer Brown,Toyota,Altima,2015,36019,0.0983359271158715,3541.96
2/4/2023,Jennifer Stevens MD,Brittany Gonzales,Chevrolet,Civic,2019,23249,0.14162204065002712,3292.57
10/8/2022,Kristen Becker,Ryan Medina,Nissan,Civic,2016,38278,0.056340279361091795,2156.59
1/24/2023,Julie Aguirre,Timothy Mccoy,Nissan,Silverado,2018,38307,0.07953119031565194,3046.6
4/15/2023,Victor Murillo,Matthew Anderson,Chevrolet,Corolla,2015,36834,0.08089572566794434,2979.71
8/10/2022,Nicole Williams,Richard Wolf,Ford,Civic,2012,31941,0.10285483802960502,3285.29
5/25/2022,Heather Davidson,Rachel Madden,Honda,Civic,2011,17997,0.06269286368480731,1128.28
2/15/2023,Betty Young,Lynn Villarreal,Honda,Corolla,2015,44250,0.115044400724805,5090.71
4/18/2023,Chad Davis,Jesse Dunn,Nissan,Corolla,2013,13194,0.11862126131211372,1565.09
11/14/2022,Lauren Hernandez,Amanda Combs,Ford,Civic,2012,29108,0.12297662818232843,3579.6
5/24/2022,David Diaz,Amy Sanchez,Chevrolet,F-150,2013,26168,0.13626166335406598,3565.7
3/23/2023,Brian Moran,Matthew Peterson,Chevrolet,Civic,2013,14864,0.07774427451260825,1155.59
9/3/2022,Amanda Butler,Sabrina Williams,Toyota,Corolla,2012,28564,0.061851656927740986,1766.73
7/2/2022,Jacob Bishop,Marc Caldwell,Nissan,Corolla,2021,21224,0.09301422746853835,1974.13
12/16/2022,Michael Walton,Edgar Smith,Nissan,Corolla,2011,29018,0.1459687168071691,4235.72
3/13/2023,John Newton,Carrie Hudson,Toyota,F-150,2016,45367,0.08173407162862287,3708.03
8/17/2022,Kristen Martinez,Colleen Fischer,Chevrolet,Altima,2021,17832,0.05185287642136756,924.64
1/3/2023,Kimberly Maldonado,Kristine Hernandez,Ford,Civic,2014,39908,0.10898507274892891,4349.38
11/30/2022,Tara Hubbard,Virginia Joyce,Toyota,Corolla,2016,14609,0.09140936200505129,1335.4
4/13/2023,Valerie Sanchez,Carlos Fields,Nissan,Altima,2022,13508,0.14675635324651334,1982.38
12/24/2022,Kevin Mitchell,Christie Odonnell,Chevrolet,F-150,2022,13280,0.12288597679712084,1631.93
2/11/2023,David Gomez,Linda Conrad,Nissan,Altima,2019,46164,0.14467380440506145,6678.72
8/10/2022,Rebecca Pearson,Randall Thompson,Ford,F-150,2013,14744,0.08509262211358999,1254.61
5/20/2022,Jessica Flores,Carol Turner,Ford,Civic,2014,27999,0.09029833953436377,2528.26
7/19/2022,Joseph Patterson,James Velazquez,Honda,Corolla,2010,24327,0.0954573320827725,2322.19
1/20/2023,Carrie Gordon,Joseph Marquez,Honda,Silverado,2015,35989,0.1055199958500214,3797.56
4/19/2023,Christina Avery,Courtney Miller,Nissan,Silverado,2017,21618,0.14533794532406039,3141.92
10/7/2022,Monique Green,Audrey Perry,Toyota,Corolla,2022,26862,0.09513500951332565,2555.52
11/18/2022,Tom Hunt,Tammy Wood,Chevrolet,F-150,2010,36750,0.10244553172280982,3764.87
2/1/2023,Walter Robinson,Jeffrey Gillespie,Honda,Civic,2020,19526,0.12831471764527544,2505.47
1/24/2023,Robert Gordon,Jennifer Cohen,Chevrolet,F-150,2019,26875,0.11565469808226461,3108.22
6/4/2022,Michelle Moore,Sharon Brooks,Ford,Civic,2019,10371,0.10499094249399775,1088.86
1/6/2023,Lindsey Knight,Haley Sanders,Nissan,Altima,2019,13649,0.12333166269067768,1683.35
10/4/2022,Christopher Taylor,Denise Carter,Chevrolet,F-150,2017,29518,0.07262422835423589,2143.72
1/3/2023,Kathy Evans,Claudia Ali,Toyota,Altima,2022,43019,0.14654085206625067,6304.04
11/16/2022,Katherine Harris,Lori Byrd,Ford,Altima,2022,33493,0.14689811538600167,4920.06
4/3/2023,Laura Huff,Michael Lewis,Chevrolet,Altima,2017,26262,0.12323201531206525,3236.32
8/25/2022,Charles Cruz,Debra Hudson,Toyota,Altima,2015,18282,0.14818071183380893,2709.04
4/12/2023,Hayley Day,Anthony Glover,Honda,F-150,2015,48916,0.09983357572991322,4883.46
4/1/2023,Hunter King,Toni Acosta,Toyota,Civic,2016,48163,0.131807446935917,6348.24
8/8/2022,Kimberly Rasmussen,Brian Lamb,Nissan,Civic,2016,45824,0.10582311704172301,4849.24
2/19/2023,Shawn Mullen,Jeremy Jones,Nissan,Civic,2018,16314,0.14934352627331066,2436.39
5/10/2022,Matthew Campos,Brandon Kim,Chevrolet,Silverado,2016,19018,0.06787955844233456,1290.93
5/14/2022,Tyler Freeman,Shannon Sutton,Honda,Altima,2021,27067,0.10467318819789254,2833.19
10/16/2022,Matthew Ortiz,Mr. Kyle Patrick MD,Honda,Civic,2022,31238,0.09855528087666002,3078.67
2/1/2023,Anna Johnson,Damon Baker,Chevrolet,Civic,2012,28865,0.12431359608419824,3588.31
2/23/2023,Carl Miller,Amy Burns,Honda,Corolla,2012,25187,0.083280409735049,2097.58
9/8/2022,Ashley English,Adrian Miller,Chevrolet,Corolla,2022,45561,0.11625434168539232,5296.66
6/9/2022,Mark Mayo,Jesse Walker,Chevrolet,F-150,2014,15751,0.10211074230585673,1608.35
6/1/2022,Becky Stafford,Seth Horne,Nissan,Silverado,2016,24664,0.12472433714896974,3076.2
5/24/2022,Shaun Johnson,Zachary Freeman,Toyota,Civic,2012,46092,0.07942432545831299,3660.83
9/23/2022,Deanna Rodriguez,Christopher Cruz,Toyota,Corolla,2014,32968,0.11871407752582129,3913.77
6/13/2022,Jennifer Wallace,Michael Smith,Ford,Corolla,2011,13261,0.12444240491185972,1650.23
2/14/2023,Matthew Walker,Mary Perry,Chevrolet,Corolla,2019,45162,0.13370682165808478,6038.47
3/16/2023,Kenneth Fields,Audrey Gomez,Honda,Civic,2018,28160,0.09225383715876645,2597.87
4/4/2023,Deborah Whitney,Sarah Watkins,Ford,Civic,2013,45334,0.13688274205374834,6205.44
9/21/2022,David Wood,Brent Mays,Toyota,Altima,2013,24034,0.09131306939622194,2194.62
6/23/2022,Christopher Oneill,Phillip Cox,Toyota,Altima,2022,18209,0.0972775999104008,1771.33
6/4/2022,William Daniel,Jamie Smith,Honda,Corolla,2015,23255,0.05474491524193678,1273.09
12/2/2022,Stephen Ward,Chase Oneill,Ford,Corolla,2022,17038,0.08152036870613488,1388.94
1/23/2023,Donald Guerra,John Goodwin,Ford,Altima,2020,25964,0.09821864469152523,2550.15
3/13/2023,Alyssa Boyd,James Turner,Nissan,F-150,2016,10872,0.1095469040717344,1190.99
12/31/2022,Ryan Barnes,Mary Wong,Toyota,Silverado,2018,17650,0.10574036319317684,1866.32
12/29/2022,Megan Kaiser,Christopher Alexander,Ford,Civic,2013,25256,0.05562088160697812,1404.76
4/16/2023,Michael Jordan,Thomas Blankenship,Chevrolet,Altima,2014,31462,0.10395102112011992,3270.51
10/16/2022,Nicole Gonzales,Leslie Shepherd,Ford,Civic,2020,12512,0.11158666351800814,1396.17
10/18/2022,Wendy Lopez,Peter Cole,Toyota,Altima,2012,34884,0.06647519750968911,2318.92
5/14/2022,Michael Rogers,Ronald Sullivan,Toyota,Altima,2020,18818,0.05500617677506922,1035.11
10/6/2022,Tina Lynch,Erika Davis,Ford,F-150,2022,28645,0.10248165776111366,2935.59
1/27/2023,Kimberly Hall,Catherine Ortega,Nissan,Silverado,2011,35883,0.1419688142701584,5094.27
4/5/2023,Kayla Perez,Adrian Parker,Ford,Silverado,2014,44008,0.08544603481270287,3760.31
12/9/2022,Sandra Taylor,Kelly Tran,Ford,Civic,2012,30782,0.05449615310518357,1677.5
10/10/2022,Thomas Dixon,Dawn Bell,Ford,Silverado,2014,20145,0.10166231038237342,2047.99
10/26/2022,Tony Stone,Brianna Henderson,Nissan,Altima,2019,11849,0.11726352827673756,1389.46
12/24/2022,Nicholas Rodriguez,Eric Edwards,Ford,F-150,2011,45422,0.14305118876692186,6497.67
3/21/2023,Dennis Davis,Frances Castillo,Honda,Corolla,2016,17047,0.12645691523807076,2155.71
11/20/2022,William Brock,Mike Harris,Ford,Corolla,2021,22547,0.12714505358759784,2866.74
7/18/2022,Tanya Joyce,Madeline Mosley,Ford,Civic,2021,45789,0.12491718913318568,5719.83
3/14/2023,Michael Lewis,Joshua Brown,Honda,F-150,2012,23467,0.14547217843556443,3413.8
8/17/2022,Amanda Robinson,Jason Hernandez,Toyota,F-150,2010,18895,0.061012213549905984,1152.83
2/21/2023,Gabrielle Fields,Richard Warner,Ford,F-150,2016,36774,0.14716016926255265,5411.67
5/29/2022,Michael Chavez,Eric Durham,Nissan,F-150,2020,22348,0.07780478467864195,1738.78
7/5/2022,Dr. Nicole Lopez,Dustin Taylor,Chevrolet,Civic,2016,45924,0.07638384385206119,3507.85
7/17/2022,Miguel Waters,Katherine Henry,Nissan,Silverado,2010,13970,0.08373696820896996,1169.81
12/14/2022,Gina Boyer,Elizabeth Jimenez,Chevrolet,Silverado,2013,31606,0.11764995909791198,3718.44
8/11/2022,Lindsey Baker,Carl Maldonado,Ford,Corolla,2021,39594,0.09984961191841539,3953.45
5/1/2023,Jennifer Odonnell,Holly Jones,Nissan,F-150,2022,42275,0.12568085218588743,5313.16
1/6/2023,Brenda Reyes,Joseph Sutton,Toyota,Corolla,2016,23193,0.12021011669547427,2788.03
4/27/2023,Brenda Gardner,Anna Owen,Honda,Altima,2017,29381,0.12183789427647544,3579.72
10/19/2022,Karen Dennis,Karen Rogers,Chevrolet,F-150,2010,25731,0.0881393498946216,2267.91
6/27/2022,Natalie Rivera,Lisa Harding,Ford,F-150,2015,25131,0.1360029490844441,3417.89
5/12/2022,Donald Higgins,Sarah Martin,Nissan,Civic,2012,39840,0.11343863911705711,4519.4
8/8/2022,Bernard Barnes,Blake Barrera,Ford,Civic,2016,24820,0.10405671897730498,2582.69
6/28/2022,Christian Gay,Jesse Miller,Toyota,Civic,2019,47484,0.11414580329461264,5420.1
7/16/2022,Tyler Wolfe,Nicholas Thomas,Nissan,F-150,2022,26704,0.13192153174035182,3522.83
5/28/2022,Linda Richard,Lisa Robinson,Chevrolet,Altima,2012,19875,0.10334933878140727,2054.07
12/11/2022,Kathryn Le,Jennifer Williams,Ford,Altima,2019,41513,0.05081388037385559,2109.44
4/1/2023,Debbie Powers,Kenneth Hernandez,Ford,Corolla,2014,33780,0.11154518356044474,3768
4/7/2023,Kelly Ho,Alejandra Olson,Toyota,Altima,2014,15008,0.05618324075689382,843.2
4/15/2023,Desiree Hill,Mary Nielsen,Ford,Corolla,2021,13143,0.14093300291703803,1852.28
4/19/2023,Richard Williams,Cody Benton,Toyota,Civic,2018,26323,0.09552040987322605,2514.38
9/27/2022,Yolanda Jones,Christopher Morris,Nissan,Civic,2015,39057,0.10920551504008302,4265.24
9/26/2022,Meagan Shaw,Rebecca Boone,Ford,Altima,2012,11738,0.08970486635160704,1052.96
1/24/2023,Joseph Smith,Gary Rowland,Honda,Silverado,2020,48705,0.14558480608727853,7090.71
5/21/2022,Isabella Barrett,Kathleen Stone,Chevrolet,Civic,2012,20812,0.10751448399365748,2237.59
5/12/2022,Mr. Joshua Johnson,Patricia Serrano,Toyota,Silverado,2016,44286,0.09296158887536046,4116.9
8/9/2022,Levi Cox,Daniel Carpenter,Toyota,Civic,2014,22149,0.06374656621479789,1411.92
8/14/2022,Diane Anderson,David Peck,Chevrolet,Civic,2013,47797,0.11852310604228088,5665.05
3/13/2023,Cheyenne Sampson,Robert Shaw,Ford,Silverado,2012,32458,0.12279628950667508,3985.72
1/12/2023,Phillip Dougherty,William Weber,Nissan,Altima,2020,45815,0.056991190892882564,2611.05
10/7/2022,Jared Taylor,Benjamin Wilson,Chevrolet,Corolla,2020,18832,0.14885093431353763,2803.16
8/22/2022,Heather Romero,Mark Olson,Ford,F-150,2017,34044,0.07720334499699774,2628.31
7/11/2022,Daniel Richmond,Tiffany Arnold,Ford,Corolla,2013,14767,0.10428729000649964,1540.01
7/31/2022,William Taylor,Meredith Gomez,Honda,F-150,2012,49209,0.10207892060054619,5023.2
12/31/2022,Matthew Brown,Christina Holmes,Honda,Silverado,2021,12075,0.1464713172076563,1768.64
7/18/2022,Ryan Waters,Diana Brown,Nissan,Altima,2017,32176,0.08323419153491496,2678.14
9/21/2022,Steven Sexton,Eric Tucker,Honda,F-150,2011,21038,0.08681316522369002,1826.38
6/8/2022,Michael Olson,Krista Walters,Chevrolet,F-150,2016,22274,0.11218264843800871,2498.76
7/17/2022,Darryl Hernandez,Gregory Phillips Jr.,Chevrolet,Silverado,2020,36523,0.14707507228377825,5371.62
5/2/2022,Linda White,Pamela Sullivan,Ford,Altima,2018,48314,0.14680971823845218,7092.96
10/12/2022,Samantha Graham MD,Angela Dudley,Honda,Altima,2012,29868,0.14301544047593556,4271.59
5/17/2022,Caroline Howell,Rachel Dillon,Toyota,Civic,2020,48964,0.07435727964032328,3640.83
6/7/2022,Paula Williams,Crystal Davis,Nissan,Silverado,2012,40470,0.13005301568173216,5263.25
8/13/2022,Blake Garcia,Joseph James,Honda,F-150,2019,47642,0.11769915205946359,5607.42
4/28/2023,James Klein,Cameron James,Honda,F-150,2022,17640,0.13083223378904502,2307.88
7/25/2022,Matthew Rollins,Heather Heath,Chevrolet,Silverado,2018,34309,0.110358400060907,3786.29
8/21/2022,Matthew Johnson,James Perkins,Ford,Silverado,2021,34050,0.12187899738514213,4149.98
3/31/2023,Michael Pierce,Leslie Kim,Ford,Civic,2013,19851,0.077311843942004,1534.72
10/14/2022,Crystal Williams,Henry King,Honda,Corolla,2014,33518,0.1047961312769568,3512.56
6/6/2022,Amanda Hernandez,Jacqueline Ortiz,Ford,Civic,2022,15157,0.12192763940758194,1848.06
6/25/2022,Mr. Frank Wiggins,Joseph Pierce,Ford,F-150,2014,17214,0.1048348137938406,1804.63
5/12/2022,Joseph Lewis,Caroline Cooley,Toyota,Altima,2019,20231,0.05230144375737259,1058.11
6/23/2022,Miss Angela Evans,Kathy Shelton,Ford,F-150,2015,22516,0.0745304607898904,1678.13
6/28/2022,Thomas Bass,Douglas Roach,Nissan,Corolla,2021,48317,0.1375444822429454,6645.74
5/30/2022,Debra Wright,Kristin Hall,Chevrolet,Corolla,2011,27734,0.14314017919102834,3969.85
9/15/2022,Nicholas Francis,Kevin Williams,Ford,Corolla,2010,32473,0.06260661806495801,2033.02
8/17/2022,Christina Jones,Shaun Brown,Toyota,F-150,2013,25708,0.10590625582127283,2722.64
7/7/2022,Frederick Hudson,Mariah Lee,Ford,Silverado,2016,39844,0.06663907806132119,2655.17
5/3/2022,Craig Booth,Jason Davis,Ford,Corolla,2020,34365,0.07610736785436159,2615.43
9/26/2022,Mr. Shawn Scott MD,Mrs. Michele Edwards,Nissan,F-150,2010,41626,0.11869163774114358,4940.66
9/2/2022,Michael Wright,Michael Moore,Chevrolet,Altima,2012,37275,0.06328380333150233,2358.9
12/18/2022,Lauren Miller,William Wilkerson,Ford,Altima,2018,15427,0.08078340737946389,1246.25
5/28/2022,Nicholas Lyons,Sara King,Honda,Silverado,2018,22897,0.07882447817500035,1804.84
3/27/2023,Kimberly Allen,George Sanchez,Ford,Altima,2021,33210,0.08196077300024338,2721.92
